users	App	Comments			
鬼島少年	Mattermost	cheap應該是個偏科的完美主義者，如果他做他覺得無聊的事，他可能是那種60分及格，或者不及格也沒差的人，但今天改成她很喜歡的主題時，他會盡可能發揮100分的表現。			
Sky	Microsoft Teams	他最強的是可以把枯燥無趣的事講到讓大家想繼續聽下去。			
Dogzilla	Brosix	最早是看cheap打世紀帝國只有幾萬訂閱 之後用世紀帝國講歷史 到現在一步步成長起來好感動			
河裡的魚	Slack	cheap好歹也算世紀帝國圈2000+ 的好手 雖然那時候圈子小 講解比賽已經很有一番風味了 很開心剛好找到適合他的一條路 站上走鐘獎相信對他是很大的肯定!!			
胡偉祥	Snapchat	中文圈最頂級的歷史課外學習頻道，沒有之一			
Vic Chien	Discord	做自己喜歡做的事才重要，即使不會成為“千萬網紅“			
納豆林	WeChat	"當一個人的年收只是數字的時候，還會讓自己振奮的事只能是 ""成就"" 了。我賭播主不會那麼容易收手，就算不拍片了，也會投入全部精力做別的嗜好。"			
米奇謝	Ryver	Cheap可以成功最重要的地方是他會正視自己不好的地方從他直播開始到現在他連講話方式都有改變			
地痞地痞	WeChat	Cheap的頻道製圖精美	講解非常詳細	怎麼成績會不好呢???你一定是在開玩笑吧???如果是真的	那Cheap就是太厲害了!!!祝Cheap會員盡快破百萬~~~
Jay	Discord	狼性是台灣人最缺的，佩服他敢自我突破，從弱勢的勞工變成強勢的老闆			
吳幽境	Tencent QQ	Cheap的歷史故事就是他一定有消化過很多資訊才整合出來的，所以一般觀眾很好吸收，就算只是看看而已也會覺得是有趣的東西，他的成功是因為他想要更好，而不是好而已。			
SM RELAX-放鬆音樂 !	KIK	不要跟別人比較，只要今天的自己比昨天進步就好，人比人氣死人，對的起自己對得起家人，一個人一輩子賺多少花多少都有註定，把握當下不要浪費自己的時間，努力的去過好每一天，認真的完成每一件事，問心無愧就好了https://www.youtube.com/watch?v=M3Gk2kdWm3o			
pineapple WU	Microsoft Teams	如果只是做一名小小的美工或插畫真的無法出人頭地	餓不死而已	youtube給了很多年輕人發揮的平台	
浦木宏	Fleep	沒有一天懈怠才是這頻道成功的地方			
雷安	WeChat	從機車路權認識到cheap 真的很讚 他的影片都好認真講解			
Pengpan	Snapchat	這個故事告訴教育部，一大部份的學生真的知道自己要什麼？ 大部份人都是照著分數填，高職真的要這麼高分？ 是不是應該更多高職退場多一點高中做一個較完善的學科探索？ 而真的不讀書的學生可以選到公立高職認知產業的東西，盡快進入職場。			
吳佳鴻	Kakaotalk	真的講的很好請那些臺大或學業界有名人士寫的文案 也許在研究方面更有考察性 但一般人怎麼會有那時間吸收餒??甚至也不需要…			
阿寶	Blackberry Messenger	以前看他看到現在 好感動ㄛ			
何錦昌	Kakaotalk	想當年我是因為世紀帝國才追蹤cheap 我只能說他轉型的很成功 至少我對歷史沒什麼興趣但還是有辦法在吃飯想看影片的時候第一個想到他的影片			
Debby Lin	Flock	好喜歡Cheap說的歷史故事！每集都看！			
Little Red	Kakaotalk	他?的真的很不?，?种知??集整理的能力，很多科研人?也未必有他好。			
郭峻豪	Kakaotalk	努力的天才最可怕....Cheap完美展示了這點...			
曾小寧	Skype	我國小的女兒超愛看你的頻道的。很容易了解歷史			
Md Chiu	Fleep	cheap講歷史故事真的簡單又有趣 不過交通議題還是交給其他頻道吧..			
胡永信	Viber	少數連業配影片都好看的創作者之一			
廖祺家	Troop	他講出的歷史觀系列作真的非常動聽又非常好理解∼			
莊秉鑫	Brosix	他的努力 我們都看見了			
Kai Lin	Telegram	覺得Cheap影片蠻有趣的，但沒想到業配居然可以接到一千萬，他的影片應該是屬於時間成本超高，金錢成本沒那麼高的，一千萬扣掉製作成本應該過得很不錯			
詹姆士	Discord	我從世紀帝國那邊就開始看了，有時候觀眾緣跟有親切感的聲音 聲線 這些真的學不來。			
鍵盤羅賓翰	Slack	我從世紀帝國開始看當時還很容易跟觀眾吵架			
『 白金 』晝梟	Messenger	我也很愛歷史，還有參與很多其他的東西的結合，束成一個多樣化素材			
??	Flock	能從高職重考到東吳日文也是不簡單欸			
張園田	Troop	我一開始是看世紀帝國解說的後面就變講歷史的百萬網紅了			
吸音娜	Chanty	可以讓觀眾把整個影片看到完就表示影片成功了 。			
Jonathan Liu	Line	我覺得趣噗有很多學校值得學習的			
Es Huang	Snapchat	看採訪的對談態度，即便完全不知道內容，也可以知道是某領域的成功人士。			
A伯伯高科技黑手 Albert Yang	Troop	找到自己的專長 盡情發揮			
Max J	Fleep	我把他頻道介紹給別人時，我都很強調，這個年輕人，真的是個博覽群書，且深入研究知識的人！我把他頻道介紹給別人時，我都很強調，這個年輕人，真的是個博覽群書，且深入研究知識的人！			
Nolan	Skype	感覺可以做一個一小時的採訪特輯，9分鐘不到確實有點短QQ			
Eason Li	Skype	我不知道現在的松山家商好不好考，以我現在40多歲當初讀新北市國中來說，松山家商需要在全班前十名才能考上，但我聯考去懷生國中考試卻發現學校榜單有一半是考上公立高中，這真的很可怕，所以松山家商在台北市的學校是中下的但在其他地區不一定是中下的			
