users,App,Comments,,,,
張奕馨,Discord,這好看，館長你真神   不跑路哈哈,,,,
詹清翔,Blackberry Messenger,阿館玩恐怖遊戲真的沒讓人失望過，哈哈 話說阿館玩的遊戲都是自己選的？還是網友推薦的呀,,,,
陳貞貞,Kakaotalk,手被門夾住那邊真的會笑死,,,,
地渺,Slack,最後一刻小機靈阿館,,,,
CT,Slack,14:25秒經典,,,,
TSUN MAI,Brosix,真的好想看館長玩心動文學社,,,,
sylvi3_Th3_Gh0st,Snapchat,9:01 笑了半天,,,,
劉祐汝,WhatsApp,看了第六個YT玩這款遊戲，每個都想跟他擊掌,,,,
楊元鎮,Skype,太好笑了,,,,
Zhenyou,Viber,這遊戲故事蠻悲慘的,,,,
徐震寰的日常頻道,Line,說好的恐怖遊戲呢被館長一玩直接變搞笑遊戲,,,,
Bn C,Tencent QQ,可怕又好笑,,,,
kate ta m,Tencent QQ,9:17 館長還用紅色小手手打了一下Huggy Wuggy,,,,
枪哥,Blackberry Messenger,好好笑,,,,
泗豪,Line,館長玩遊戲我都很開心，這個影片不笑對不起自己,,,,
BOY,Slack,7:44手夾住笑死,,,,
XG,Brosix,乾真的超好笑,,,,
N N,Messenger,館長好娛樂XD,,,,
文生,Snapchat,恐怖遊戲最好笑,,,,
Teck Leong Lau,Messenger,我一整句一直笑,,,,
愛上Twice一條魚,Snapchat,館長好可愛啊,,,,
啾咪,Slack,訂閱館長就是好選擇(´･ω･`)因為你會笑到沒氣,,,,
Kui LING,WhatsApp,追逐战那边馆长尖叫得我都要笑得断气了,,,,
民國派講政經[反共 保自由 護民主],WhatsApp,有時候館長莫名可愛,,,,
丁丁阿,Blackberry Messenger,09:17 館長雖然嚇尿 但還是試著推手反抗,,,,
William Chou,Kakaotalk,快笑翻了,,,,
郭不點,Slack,笑到我肚子痛,,,,
ike m,Slack,好好笑,,,,
Chang Chang,Blackberry Messenger,我想知道上次那個賣場的續集,,,,
Jinji,Kakaotalk,手被夾住那一part我快笑死,,,,
墨宇🌧️,Blackberry Messenger,沒忍住笑,,,,
若廷ya,WhatsApp,差點笑到往生,,,,
阿不就好Brown Brown,Tencent QQ,恐懼取決於你的火力不足,,,,
-£=爆上天-,Blackberry Messenger,館長玩很好喔？讚。,,,,
皮又秋,Line,館長，第二章出了喔～你應該知道該怎麼做了吧？～,,,,
江善得Sander Chiang,WhatsApp,有沒有下集!!,,,,
Zoey Chen,Blackberry Messenger,有夠好笑,,,,
Estelle ASMR,Viber,嚇死+笑死,,,,
YT演算法大師 一個在頻道穩定前會不斷改名的頻道主 聽說點訂閱的話能一生順遂無比,Slack,9:15 爆笑,,,,
无语 无语,Telegram,超爱馆长玩游戏der。。。。,,,,
Alan Walker is my idol,Microsoft Teams,笑到窒息,,,,
小MI,Messenger,好好笑喔,,,,
xiaopan,Blackberry Messenger,被手夾住了笑到躺在地板上,,,,
星.𐂂,Line,只要是馆长玩恐怖game直接变搞笑game,,,,
楓暖暖,Tencent QQ,完整版去哪看?,,,,
蔡蔡,Slack,我兩次被嚇到尖叫，笑死，這遊戲很可以欸,,,,
open and close,WhatsApp,看别人玩是恐怖游戏看馆长玩是搞笑游戏,,,,
インク猫ت,Line,請原諒我笑到飆淚wwww,,,,
湯圓,Microsoft Teams,我都看過很多別的主播拍 可是我還要看 ,,,,
兩儀弒,WhatsApp,幹～嚇死！這太刺激了啦,,,,
台灣之尺,Skype,我笑到快ㄎㄧˉ笑,,,,
周雨錡,Telegram,快被笑死！一直罵髒話,,,,
在下MiA,Brosix,館長真的超可愛的,,,,
Jack Kwo,Viber,我開頭就笑了,,,,
李好,Microsoft Teams,館長真的嚇到了,,,,
林家右,Slack,爆笑精華,,,,
PuU Jay,Slack,在人群中 館長的影片只需要開一格聲音就足夠了,,,,
JJ囝 - Tak Lee,Blackberry Messenger,抱歉,實在笑死我了,,,
Riko Kuo,Tencent QQ,別人玩是恐怖遊戲 館長玩是爆笑遊戲,,,,
沈昱帆 一帆風順,Brosix,館長哈哈哈哈，好好笑,,,,
玖是要騎車,Kakaotalk,手被門夾住哈哈哈哈，快笑死,,,,
CaiYin.,Microsoft Teams,笑死我了啦,,,,
gina li,Slack,笑死我了,,,,
八辣 黃,Discord,館長你要一直走上面用力,,,,
小兔甜糖♂,Blackberry Messenger,我隔著屏幕都被嚇到 哈哈哈,,,,
teresaresa resa,Skype,笑死我了,,,,
又好像回到从前了,WhatsApp,6:54 真的笑死，兩極反轉的概念◉‿◉,,,,
勇士魂,Tencent QQ,看到流眼淚是正常嗎？,,,,
八辣 黃,Blackberry Messenger,館長我是真的你很努力呀,,,,
伊夏,Line,最後超好笑,,,,
梁.小號,Messenger,超好笑的,,,,
Im blue,Slack,我因為狂笑進了醫院XD,,,,
酪梨avocado,Snapchat,館長好可愛,,,,
mantou,Slack,好好笑 XD,,,,
畫畫的狐狸,WeChat,笑出鵝聲鵝鵝鵝鵝鵝鵝鵝鵝鵝鵝,,,,
翔恩恩,Slack,好好笑阿！,,,,
Margaret winters,WhatsApp,超好笑,,,,
柏傑 黃,Snapchat,好可愛,,,,
Ycc,Viber,年紀到了  感覺快承受不住了  XDDD,,,,
白豬王子個屁,Viber,靠腰笑死人了啦(｡ŏ_ŏ),,,,
ω魂夢,Tencent QQ,笑死 手卡住,,,,
Oppo A31,Blackberry Messenger,太好笑了吧,,,,
火星上の橘貓,Viber,很恐怖的遊戲⋯但是看到館長叫就不恐怖了,,,,
洪雪玉,Discord,笑到快爆了,,,,
E_M:D,Messenger,差點笑到往生了wwww,,,,
黃筌瑋,Messenger,好好笑,,,,
奕柴イチャイ,Kakaotalk,我一直在笑,,,,
阿噗,Line,後面超好笑的,,,,
grizzy and the lemmings李昕,Line,阿館玩恐怖遊戲被鬼追真的是收視保證,,,,
張品世,Snapchat,超好笑啊,,,,
小可愛,Brosix,好好笑,,,,
傑伕,Tencent QQ,有夠好笑,,,,
劉明傑,Brosix,好好笑,,,,
雨芹 宋,Blackberry Messenger,超好笑的,,,,
張琪,Discord,好好笑,,,,
豪,WhatsApp,哈哈被館長笑瘋,,,,
Zhihong Zheng,Discord,擔心館長  陰影面積  笑死,,,,
Xansus Wanka,Line,其實他玩遊戲的樣子還蠻可愛的嘛。唉唷別老是罵粗口嘛。看你玩遊戲就蠻爽的。,,,,
LISA,Snapchat,笑死我,,,,
錒芯,Microsoft Teams,笑到肚子痛XXXXXD,,,,
蕿蕿,Blackberry Messenger,7:46 手居然被門夾住,,,,
RobloxElsa21 Mileyw0218,Snapchat,不好意思我忍住笑死哈哈哈哈哈哈哈哈哈哈哈,,,,
許豪豪,Tencent QQ,笑到蝦姑,,,,
Hong An Lin,Messenger,靠腰 被一開始出來嚇到,,,,
jing chua,Messenger,7:30分超好笑,,,,
無端正,Blackberry Messenger,快就是「緊」，「緊」就是七天,,,,
謝戎戎,Snapchat,下一集什麼時候出來,,,,
陳宣邑,Kakaotalk,笑到我心痛,,,,
小吉,Blackberry Messenger,玩到放棄人生,,,,
羿均 劉,WhatsApp,我是笑到肚子痛XD,,,,
ason E,Blackberry Messenger,幹，手被夾住超好笑,,,,
何t9112066,Slack,哈哈哈快笑死,,,,
つゆりカナヲ,Brosix,一直笑是正常的吧？！,,,,
泧,Snapchat,真的笑死~~~ ,,,,
Sky Liu,Skype,我笑到哭出來,,,,
Siew Ying Ang,Discord,最后差点没笑死,,,,
小小莫提斯的進化之路,WeChat,手被門夾住！！！騷操作啊,,,,
洪雪玉,Kakaotalk,好好笑喔,,,,
雨芹 宋,Snapchat,我快笑死了,,,,
duck duck,Microsoft Teams,吓死欸 同时也笑死,,,,
繪夢,WhatsApp,打BNT爆笑 還手整個抖 痛到w,,,,
黃瑜晟,Viber,館長可以去把箱子集中在出路口引他出來時他會Bug,,,,
廷,WeChat,OK囉這遊戲變搞笑了,,,,
George Wu,Brosix,哈哈館長的影片超好笑,,,,
Dil lon,Blackberry Messenger,館長對上泰臣也不會嚇成這樣XD,,,,
幽默yt,Kakaotalk,笑死我了！,,,,
點點、陳,Slack,笑了啦~~~~~圈粉,,,,
岑岑,WhatsApp,阿館人生已登出,,,,
朱元彬,Skype,我笑死哈哈哈,,,,
Chloe Chen,Tencent QQ,實驗品跑出來，館長沒包好尿布嚇尿,,,,
Mr_corn,Kakaotalk,7:45 手真的快笑死XDD,,,,
kenny wu,WhatsApp,笑死了啦ＸＤ,,,,
黃翊綸,WeChat,從頭笑到尾,,,,
大霉呂,Telegram,快就是緊 緊就是快,,,,
盧小葉,WeChat,館長有被虐傾向,,,,
微辣♡中辣♡想你辣,Viber,好好笑,,,,
柏珅 莊,Messenger,好好笑,,,,
一尾鱒魚,Line,夾手快笑死,,,,
淅子𝚌𝚊𝚗𝚍𝚊𝚌𝚎._♡,Discord,抱歉......我笑出來惹,,,,
Mo7,Microsoft Teams,差點笑到往生,,,,
™風い盈沁☂灰狐ℳ,Brosix,笑死XD,,,,
F̸u̸n̸n̸y̸ g̸i̸r̸l̸☺︎︎,WhatsApp,我笑到肚子痛,,,,
廷,Viber,實測了手機13多分鐘就能完成第一章,,,,
劉康奕,Slack,乾那個臉和撞門的喔干好好笑,,,,
FADE,Discord,好屌,,,,
A7文青好青年,Messenger,靠北！！！！我也被嚇到！！！,,,,
Niko,Telegram,差點笑死,,,,
Asuka,Skype,笑翻了哈哈,,,,
隱行者,WhatsApp,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！館長真的是草俗辣型的啦！,,,,
賴彩綺,WhatsApp,6:30好可愛哈哈哈,,,,
許哲豪,Telegram,開頭笑死XD,,,,
悅月,Blackberry Messenger,笑死,,,,
李沁,WeChat,好厲害,,,,
_筱清-喵じ,WeChat,它有出第二章，官方也有出預告片，館長可以去看，後面的劇情跟那隻娃娃有關,,,,
你幹嘛GN,Snapchat,館長也可以去玩佛萊迪,,,,
Nick Ma,Brosix,笑死我了,,,,
��𝓃𝓃ت︎,Snapchat,不小心笑XDD,,,,
文蘭,Slack,哈哈笑死我了,,,,
林俊宏,Line,最後我笑了,,,,
沈昱帆 一帆風順,Blackberry Messenger,玩遊戲好好笑,,,,
謝小炮,Messenger,你罵髒話笑死我了哈哈哈哈哈哈哈笑死我了,,,,
陳健鋒,Brosix,你好勵害,,,,
Maosen Huang,Microsoft Teams,笑死了！哈哈哈哈哈,,,,
芳华幽夏,Slack,靠腰.......快笑死,,,,
陳宣邑,Slack,我要笑死了,,,,
紀宗漢,Line,阿館好好笑！！！,,,,
FeiFei Fly,Line,我真的會笑死,,,,
貓力帕:(,Brosix,笑到爆,,,,
皮老闆,Discord,影片開頭笑到並軌,,,,
憨憨多多,Brosix,館長我這個看十次了(〃'▽'〃),,,,
YT是不是都一堆腦殘.,Blackberry Messenger,快就是ㄍㄧㄣˋ ㄍㄧㄣˋ就是快,,,,
989 YHJLife,Snapchat,手手……手卡住了……手……手,,,,
朱健弘,Skype,好笑,,,,
廖偉超,Tencent QQ,老大你的心臟撐的下去嗎（架恐怖的娃娃追過來）,,,,
na yu,WeChat,牙齒尖的長得很可愛,,,,
一只派蒙,Kakaotalk,希望馆长可以玩dark deception,,,,
LEAVFT FF,Snapchat,好好笑...XD,,,,
YuzuChannel,Discord,被嚇到爛趴縮到腦了 XD,,,,
RimuruTempest,Brosix,他妈的一开始就差点笑死了,,,,
嗨你好,WhatsApp,11:25 快樂的開始,,,,
惡勢者,Discord,我已經Kobe笑死杯打,,,,
黃薏芬,Line,我覺得超好看。,,,,
郭秉睿,Line,我覺得滿可愛的,,,,
mono5477李冠廷,Slack,你在廣告裡面到黃黃的燈那邊都停那個怪物怪物來的時候他直接走過去然後你都沒收到傷害然後他就直接轉頭看看你邊往前走然後你走去前面你說到那個箱子上面,,,,
阿信的生活日記,WeChat,不是雙龍出海，是伸縮自如的~火箭炮,,,,
羽月_feather_moon—你禮貌嗎,Discord,我笑到起肖,,,,
羽生refo,Microsoft Teams,我快缺氧了XD,,,,
轩轩.,Skype,笑死哈哈哈(/≧▽≦)/~┴┴,,,,
林妙環,Messenger,館長,這個遊戲有第二張了，去玩玩看啊,,,
Circle Cheng,Discord,終於100萬～,,,,
王大任,Blackberry Messenger,館長不是自稱全台灣最大膽的人嗎？陳大膽,,,,
Chin Hua,Brosix,靠杯，嚇死我了，什麼鬼遊戲，都嚇到叫出來了，靠杯,,,,
徐偉惇,Tencent QQ,我很確定這不是效果,,,,
阿裎,Line,比糖豆人更刺激,,,,
Ry,Kakaotalk,這個可以來用忍笑大挑戰,,,,
泓毅 吳,Line,差點笑出心臟病,,,,
莫莫,Snapchat,快丟洗緊 緊丟洗快,,,,
五等分の花嫁∫∫,Skype,也太好笑,,,,
KATANA,Viber,這也太可怕了吧,,,,
瑩瑩,Brosix,對不起 我笑太大聲了！,,,,
5203楊閔仲小帳,Messenger,我快笑死,,,,
陳俊呈,WhatsApp,笑死 手還我,,,,
梅札蘭斯,Messenger,最後的剪輯是故意的吧 嚇鼠www,,,,
��海之霞龍, 在沖50粉,Tencent QQ,最後你放心,因為聽說怪物掉進深淵,就表示怪物死了,
林采霓,Blackberry Messenger,我快被嚇死了,,,,
安妮亞,Discord,9:32館長崩潰了 (/^▽^)/,,,,
蒼蠅,Microsoft Teams,聊天室最精采,,,,
fungjai227 fungjai227227,WeChat,不能吃着飯看XD會噴飯,,,,
大霉呂,Blackberry Messenger,5:44雙龍出海,,,,
appleworm huang,Telegram,笑翻，哈哈哈哈,,,,
陳振宇,Messenger,手被門夾住 我快笑死了讓我想到國民黨那個夾到手的,,,,
CaptainCATCAT,Slack,笑死我呢,,,,
mono5477李冠廷,Snapchat,我跟你講的好方法就是你把大箱子先牌的上面再把小箱子排在後面然後他等一下會關掉然後你自己問他過去然後你爸然後你跳跳跳跳上跳進去然後他都不會動了他就一直看然後你走到哪就看到哪而且在頭還會360度旋轉,,,,
曾暄配,Discord,看的好爽,,,,
Misha,Skype,開頭我以為阿館在淦桌子,,,,
Suni Su,Brosix,館長那個拉下來的盒子旁邊有門,,,,
OK,Tencent QQ,我真的笑死！hhhhh,,,,
路過的假面騎士,WeChat,快就是緊緊就是快ww,,,,
KCCHEN,Tencent QQ,恐怖遊戲硬生生被玩成搞笑遊戲,,,,
凱翔 顏,Line,舘長(怕怕)（搞笑)。,,,,
kh w,Line,这个游戏有vr的版本应该很好玩,,,,
Hou Chon Kou,Discord,笑死了,,,,
Sam,Kakaotalk,笑烂，馆长硬生生把恐怖游戏变成搞笑游戏Lol,,,,
Ryan Hiroto,Viber,笑死了,,,,
FCK牛哥,Tencent QQ,笑死了,,,,
阿偉:kdjdifls,Brosix,加油,,,,
sea ripples,Line,手被夾住的沒幾個，沒路要跳樓的也沒幾個,,,,
陳姵璇,Discord,館長你變的好可愛,,,,
青青迷你黑鬼双鱼,Skype,其实他是一个玩偶所以一个人把他变成很大的玩偶之后，他吃掉了其他人,,,,
冰徹實況,Telegram,快就是[緊]  [緊]就是快 w,,,,
陳柏安,Telegram,蠻可怕的 哈哈阿,,,,
牛逼,Brosix,9:19 經典死亡後動作,,,,
言午原頁-1228,Kakaotalk,10:44 封面阿馆被吓到的片段,,,,
張翰傑,Microsoft Teams,這個都會很刺激喔,,,,
俞惠慈,WeChat,（快）就是緊 （緊）就是快（哈哈哈哈哈哈哈哈哈哈哈哈哈,,,,
派派,Line,笑翻,,,,
合子,Discord,不多說，直接按讚~,,,,
ucia L,Discord,好可愛,,,,
Jack Y,Microsoft Teams,恐怖遊戲變爆笑遊戲,,,,
林彥,Brosix,用生命做直播XD,,,,
Lun,Messenger,最後再來一嚇唉唷 淦 XD,,,,
Xunzifeng,Brosix,太逊了.好笑,,,,
蔡小靖,Microsoft Teams,第二集會出字幕嗎~~？,,,,
好大雞排,Line,快就是緊 緊就是快,,,,
黃致綱,Telegram,手還我哈哈哈哈哈哈哈,,,,
3C07侯俊秀 HOU CHUN SAU JAX,Slack,看看後面 你知不知道這隻怪物叫做什麼 是藍毛怪,,,,
wu penny,Microsoft Teams,我一個人玩的時候被下到差點摔平板,,,,
小語,WeChat,笑翻,,,,
張瑞雲,Slack,貼著牆壁他不會吃你只會往後看,,,,
妹妹,Tencent QQ,箱子卡在門口他會飛起了,,,,
Nicole Ng,Skype,笑死我了，草,,,,
邱士育,WeChat,一定有嚇到噴尿才要去廁所洗臉，呵呵,,,,
茶奶,Messenger,請問館長都在哪裡直播,,,,
v121507646,Discord,直接在留言區笑到往生,,,,
小黑子,Slack,他只是想要一个朋友...,,,,
Regina little Angel,Snapchat,你給我死,,,,
時珮菁Alice._.,Telegram,把箱子放在他出去的門口，他就飛上去了,,,,
zume Mika,Kakaotalk,我會笑死,,,,
旻秀 黃,Line,你在抖音上很搞笑而且也很火,,,,
鬼島少年,Mattermost,cheap應該是個偏科的完美主義者，如果他做他覺得無聊的事，他可能是那種60分及格，或者不及格也沒差的人，但今天改成她很喜歡的主題時，他會盡可能發揮100分的表現。,,,,
Sky,Microsoft Teams,他最強的是可以把枯燥無趣的事講到讓大家想繼續聽下去。,,,,
Dogzilla,Brosix,最早是看cheap打世紀帝國只有幾萬訂閱 之後用世紀帝國講歷史 到現在一步步成長起來好感動,,,,
河裡的魚,Slack,cheap好歹也算世紀帝國圈2000+ 的好手 雖然那時候圈子小 講解比賽已經很有一番風味了 很開心剛好找到適合他的一條路 站上走鐘獎相信對他是很大的肯定!!,,,,
胡偉祥,Snapchat,中文圈最頂級的歷史課外學習頻道，沒有之一,,,,
Vic Chien,Discord,做自己喜歡做的事才重要，即使不會成為“千萬網紅“,,,,
納豆林,WeChat,"當一個人的年收只是數字的時候，還會讓自己振奮的事只能是 ""成就"" 了。我賭播主不會那麼容易收手，就算不拍片了，也會投入全部精力做別的嗜好。",,,,
米奇謝,Ryver,Cheap可以成功最重要的地方是他會正視自己不好的地方從他直播開始到現在他連講話方式都有改變,,,,
地痞地痞,WeChat,Cheap的頻道製圖精美,,,,
Jay,Discord,狼性是台灣人最缺的，佩服他敢自我突破，從弱勢的勞工變成強勢的老闆,,,,
吳幽境,Tencent QQ,Cheap的歷史故事就是他一定有消化過很多資訊才整合出來的，所以一般觀眾很好吸收，就算只是看看而已也會覺得是有趣的東西，他的成功是因為他想要更好，而不是好而已。,,,,
SM RELAX-放鬆音樂 !,KIK,不要跟別人比較，只要今天的自己比昨天進步就好，人比人氣死人，對的起自己對得起家人，一個人一輩子賺多少花多少都有註定，把握當下不要浪費自己的時間，努力的去過好每一天，認真的完成每一件事，問心無愧就好了https://www.youtube.com/watch?v=M3Gk2kdWm3o,,,,
pineapple WU,Microsoft Teams,如果只是做一名小小的美工或插畫真的無法出人頭地,,,,
浦木宏,Fleep,沒有一天懈怠才是這頻道成功的地方,,,,
雷安,WeChat,從機車路權認識到cheap 真的很讚 他的影片都好認真講解,,,,
Pengpan,Snapchat,這個故事告訴教育部，一大部份的學生真的知道自己要什麼？ 大部份人都是照著分數填，高職真的要這麼高分？ 是不是應該更多高職退場多一點高中做一個較完善的學科探索？ 而真的不讀書的學生可以選到公立高職認知產業的東西，盡快進入職場。,,,,
吳佳鴻,Kakaotalk,真的講的很好請那些臺大或學業界有名人士寫的文案 也許在研究方面更有考察性 但一般人怎麼會有那時間吸收餒??甚至也不需要…,,,,
阿寶,Blackberry Messenger,以前看他看到現在 好感動ㄛ,,,,
何錦昌,Kakaotalk,想當年我是因為世紀帝國才追蹤cheap 我只能說他轉型的很成功 至少我對歷史沒什麼興趣但還是有辦法在吃飯想看影片的時候第一個想到他的影片,,,,
Debby Lin,Flock,好喜歡Cheap說的歷史故事！每集都看！,,,,
Little Red,Kakaotalk,他?的真的很不?，?种知??集整理的能力，很多科研人?也未必有他好。,,,,
郭峻豪,Kakaotalk,努力的天才最可怕....Cheap完美展示了這點...,,,,
曾小寧,Skype,我國小的女兒超愛看你的頻道的。很容易了解歷史,,,,
Md Chiu,Fleep,cheap講歷史故事真的簡單又有趣 不過交通議題還是交給其他頻道吧..,,,,
胡永信,Viber,少數連業配影片都好看的創作者之一,,,,
廖祺家,Troop,他講出的歷史觀系列作真的非常動聽又非常好理解～,,,,
莊秉鑫,Brosix,他的努力 我們都看見了,,,,
Kai Lin,Telegram,覺得Cheap影片蠻有趣的，但沒想到業配居然可以接到一千萬，他的影片應該是屬於時間成本超高，金錢成本沒那麼高的，一千萬扣掉製作成本應該過得很不錯,,,,
詹姆士,Discord,我從世紀帝國那邊就開始看了，有時候觀眾緣跟有親切感的聲音 聲線 這些真的學不來。,,,,
鍵盤羅賓翰,Slack,我從世紀帝國開始看當時還很容易跟觀眾吵架,,,,
『 白金 』晝梟,Messenger,我也很愛歷史，還有參與很多其他的東西的結合，束成一個多樣化素材,,,,
??,Flock,能從高職重考到東吳日文也是不簡單欸,,,,
張園田,Troop,我一開始是看世紀帝國解說的後面就變講歷史的百萬網紅了,,,,
吸音娜,Chanty,可以讓觀眾把整個影片看到完就表示影片成功了 。,,,,
Jonathan Liu,Line,我覺得趣噗有很多學校值得學習的,,,,
Es Huang,Snapchat,看採訪的對談態度，即便完全不知道內容，也可以知道是某領域的成功人士。,,,,
A伯伯高科技黑手 Albert Yang,Troop,找到自己的專長 盡情發揮,,,,
Max J,Fleep,我把他頻道介紹給別人時，我都很強調，這個年輕人，真的是個博覽群書，且深入研究知識的人！我把他頻道介紹給別人時，我都很強調，這個年輕人，真的是個博覽群書，且深入研究知識的人！,,,,
Nolan,Skype,感覺可以做一個一小時的採訪特輯，9分鐘不到確實有點短QQ,,,,
Eason Li,Skype,我不知道現在的松山家商好不好考，以我現在40多歲當初讀新北市國中來說，松山家商需要在全班前十名才能考上，但我聯考去懷生國中考試卻發現學校榜單有一半是考上公立高中，這真的很可怕，所以松山家商在台北市的學校是中下的但在其他地區不一定是中下的,,,,
